"year";"industry_name";"year_payroll";"previous_payroll";"payroll_change";"change(%)"
2009;Ubytování, stravování a pohostinství;12333.5000;12471.5000;decrease;-1.11
2009;Zemědělství, lesnictví, rybářství;17644.5000;17763.7500;decrease;-0.67
2009;Těžba a dobývání;28360.5000;29272.5000;decrease;-3.12
2009;Činnosti v oblasti nemovitostí;20706.0000;20790.2500;decrease;-0.41
2010;Vzdělávání;23023.0000;23416.0000;decrease;-1.68
2010;"Veřejná správa a obrana; povinné sociální zabezpečení";26943.5000;27034.5000;decrease;-0.34
2010;Profesní, vědecké a technické činnosti;31601.7500;31791.2500;decrease;-0.60
2011;Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;40201.5000;40295.7500;decrease;-0.23
2011;"Veřejná správa a obrana; povinné sociální zabezpečení";26330.7500;26943.5000;decrease;-2.27
2011;Ubytování, stravování a pohostinství;13131.2500;13205.2500;decrease;-0.56
2011;Doprava a skladování;23062.0000;23062.5000;decrease;0.00
2013;Kulturní, zábavní a rekreační činnosti;20510.5000;20808.2500;decrease;-1.43
2013;Informační a komunikační činnosti;46155.0000;46641.0000;decrease;-1.04
2013;Těžba a dobývání;31486.5000;32540.2500;decrease;-3.24
2013;Stavebnictví;22379.2500;22849.7500;decrease;-2.06
2013;"Zásobování vodou; činnosti související s odpady a sanacemi";23615.7500;23717.5000;decrease;-0.43
2013;Činnosti v oblasti nemovitostí;22151.5000;22552.5000;decrease;-1.78
2013;Profesní, vědecké a technické činnosti;31824.7500;32816.7500;decrease;-3.02
2013;Administrativní a podpůrné činnosti;16829.2500;17040.5000;decrease;-1.24
2013;Peněžnictví a pojišťovnictví;46316.5000;50800.5000;decrease;-8.83
2013;Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;40761.7500;42657.2500;decrease;-4.44
2013;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";23129.7500;23323.7500;decrease;-0.83
2014;Těžba a dobývání;31301.7500;31486.5000;decrease;-0.59
2015;Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;40452.5000;41093.7500;decrease;-1.56
2016;Těžba a dobývání;31626.2500;31808.5000;decrease;-0.57
