"actual_year";"gdp_change(%)";"avg_price_change_one_year(%)";"avg_payroll_change_one_year(%)";"avg_price_change_two_years(%)";"avg_payroll_change_two_years(%)"
2006;;;;;
2007;5.57;6.35;6.88;;
2008;2.69;6.41;7.69;13.17;15.10
2009;-4.66;-6.81;3.07;-0.84;11.00
2010;2.43;1.77;1.91;-5.17;5.04
2011;1.76;3.5;2.33;5.32;4.29
2012;-0.79;6.92;2.93;10.66;5.33
2013;-0.05;5.55;-1.56;12.86;1.33
2014;2.26;0.89;2.57;6.49;0.98
2015;5.39;-0.56;2.60;0.33;5.24
2016;2.54;-1.12;3.64;-1.68;6.33
2017;5.17;9.98;6.17;8.74;10.03
2018;3.2;1.95;7.70;12.12;14.34
